year,name,volume
2017,"Proceedings of the 19th International Conference on Engineering and Product Design Education: Building Community: Design Education for a Sustainable Future, E and PDE 2017",
2017,"Proceedings of the International Conference on Engineering Design, ICED",1
2017,IEEE Geoscience and Remote Sensing Letters,14
2017,10th U.S. National Combustion Meeting,2017-April
2017,Journal of Tissue Engineering,8
2017,CAMX 2017 - Composites and Advanced Materials Expo,2017-December
2017,Proceedings of the International Telemetering Conference,
2017,"2017 Fall Technical Meeting of the Western States Section of the Combustion Institute, WSSCI 2017",
2017,Proceedings of the ASME Design Engineering Technical Conference,5B-2017
2017,Proceedings of the ASME Design Engineering Technical Conference,2B-2017
2017,Computing and Systems Technology Division 2017 - Core Programming Area at the 2017 AIChE Spring Meeting and 13th Global Congress on Process Safety,
2017,International Journal of Heat and Mass Transfer,110
2017,IEEE Transactions on Nuclear Science,64
2017,International Journal of Heat and Mass Transfer,108
2017,Proceedings of SPIE - The International Society for Optical Engineering,10398
2017,SpringerBriefs in Applied Sciences and Technology,
2017,Transportation Research Record,2636
2017,AAAI Workshop - Technical Report,WS-17-01 - WS-17-15
2017,IGLC 2017 - Proceedings of the 25th Annual Conference of the International Group for Lean Construction,
2017,Proceedings of the ASME Turbo Expo,1
2017,"SPE/IADC Drilling Conference, Proceedings",2017-March
2017,"Carbon Management Technology Conference, CMTC 2017: Global CCUS Innovation Nexus",2
2017,"35th Wind Energy Symposium, 2017",
2017,Journal of Aerospace Information Systems,14
2017,Geotechnical Special Publication,
2017,Optics InfoBase Conference Papers,Part F43-CLEO_AT 2017
2017,Optics InfoBase Conference Papers,Part F41-CLEO_SI 2017
2017,Energy,118
2017,Polyploidy and Hybridization for Crop Improvement,
2017,Proceedings of the ASME Design Engineering Technical Conference,5A-2017
2017,Journal of Power Sources,352
2017,"Sensors and Actuators, B: Chemical",246
2017,Society of Petroleum Engineers - SPE Bergen One Day Seminar 2017,
2017,Nanophotonics,6
2017,"23rd AIAA/CEAS Aeroacoustics Conference, 2017",
2017,AIAA SciTech Forum - 55th AIAA Aerospace Sciences Meeting,
2017,Mechanisms and Machine Science,45
2017,"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS",3
2017,CAD Computer Aided Design,82
2017,"Minerals, Metals and Materials Series",
2017,Geological Society Special Publication,441
2017,International Symposium on Advances in Computational Heat Transfer,
2017,Proceedings of SPIE - The International Society for Optical Engineering,10127
2017,IEEE Transactions on Automatic Control,62
2017,"AIAA SPACE and Astronautics Forum and Exposition, SPACE 2017",
2017,International Journal of Heat and Mass Transfer,112
2017,"Minerals, Metals and Materials Series",Part F8
2017,IEEE Transactions on Control of Network Systems,4
2017,Innovations in Dryland Agriculture,
