source_title,document_id
"International Conference on Infrared, Millimeter, and Terahertz Waves, IRMMW-THz",167
"International Conference on Infrared, Millimeter, and Terahertz Waves, IRMMW-THz",168
International Journal of Heat and Mass Transfer,169
Optical Engineering,170
"2019 IEEE Photonics Conference, IPC 2019 - Proceedings",171
"2019 IEEE Photonics Conference, IPC 2019 - Proceedings",172
"2019 IEEE Photonics Conference, IPC 2019 - Proceedings",173
Journal of Cognitive Engineering and Decision Making,174
IEEE Solid-State Circuits Letters,175
IEEE Solid-State Circuits Letters,177
ESSCIRC 2019 - IEEE 45th European Solid State Circuits Conference,175
ESSCIRC 2019 - IEEE 45th European Solid State Circuits Conference,177
"IEEE International Conference on Emerging Technologies and Factory Automation, ETFA",176
IEEE Journal of Biomedical and Health Informatics,178
Applied Optics,179
"Sensors and Actuators, B: Chemical",180
Microporous and Mesoporous Materials,181
Additive Manufacturing,182
Journal of Biomechanical Engineering,183
Electronics (Switzerland),184
Soil Dynamics and Earthquake Engineering,185
IEEE Transactions on Information Forensics and Security,186
Materials and Design,187
Composite Structures,188
Quality Engineering,189
Proceedings of the American Control Conference,190
Proceedings of the American Control Conference,191
Proceedings of the American Control Conference,192
Proceedings of the American Control Conference,193
Research in Engineering Design,194
IEEE Radiation Effects Data Workshop,195
"Proceedings - 2019 IEEE Space Computing Conference, SCC 2019",196
IEEE International Professional Communication Conference,197
Journal of Structural Engineering (United States),198
Materials Characterization,199
IEEE Transactions on Geoscience and Remote Sensing,200
"Journal of Applied Mechanics, Transactions ASME",201
International Journal of Heat and Mass Transfer,202
Footwear Science,203
Footwear Science,204
OSA Continuum,205
Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science,206
Computer Methods in Applied Mechanics and Engineering,207
Computational Materials Science,208
"ASEE Annual Conference and Exposition, Conference Proceedings",209
"ASEE Annual Conference and Exposition, Conference Proceedings",492
"ASEE Annual Conference and Exposition, Conference Proceedings",209
"ASEE Annual Conference and Exposition, Conference Proceedings",492
Sensors (Switzerland),210
Mechanical Engineering,211
Journal of Mechanics in Medicine and Biology,212
"2019 International Conference on Unmanned Aircraft Systems, ICUAS 2019",213
"2019 International Conference on Unmanned Aircraft Systems, ICUAS 2019",214
"2019 International Conference on Unmanned Aircraft Systems, ICUAS 2019",215
"2019 International Conference on Unmanned Aircraft Systems, ICUAS 2019",216
Electronics (Switzerland),217
IEEE Transactions on Geoscience and Remote Sensing,218
IEEE Transactions on Geoscience and Remote Sensing,219
"Proceedings - 4th IEEE European Symposium on Security and Privacy Workshops, EUROS and PW 2019",220
"2019 International Conference on Unmanned Aircraft Systems, ICUAS 2019",221
IEEE Transactions on Professional Communication,222
Computer Methods in Applied Mechanics and Engineering,223
Optimization and Engineering,224
"2019 IEEE Milan PowerTech, PowerTech 2019",225
Journal of Manufacturing and Materials Processing,226
International Journal of Plasticity,227
Soil Dynamics and Earthquake Engineering,228
"IEEE Transactions on Components, Packaging and Manufacturing Technology",229
Composites Part A: Applied Science and Manufacturing,230
Journal of Biological Engineering,231
IEEE International Conference on Communications,232
Electronics (Switzerland),233
Design Studies,234
"2019 Conference on Lasers and Electro-Optics, CLEO 2019 - Proceedings",235
Osteoarthritis and Cartilage,236
Multimedia Tools and Applications,237
Precision Engineering,238
"2019 Conference on Lasers and Electro-Optics, CLEO 2019 - Proceedings",239
IEEE International Conference on Communications,240
IEEE International Conference on Communications,241
Magnetic Resonance Imaging,242
Computational Materials Science,243
Computational Materials Science,244
Analytical Methods,245
Journal of Mechanisms and Robotics,246
ACM Transactions on Privacy and Security,247
Journal of Air Transportation,248
IEEE Transactions on Aerospace and Electronic Systems,249
Osteoarthritis and Cartilage,250
Journal of Heat Transfer,251
Journal of Materials Science and Technology,252
IEEE Vehicular Technology Conference,253
IEEE Robotics and Automation Letters,254
Construction and Building Materials,255
"Proceedings of 11th International Conference on Bioinformatics and Computational Biology, BiCOB 2019",256
Rapid Prototyping Journal,257
Journal of Nondestructive Evaluation,258
IEEE Transactions on Antennas and Propagation,259
Physical Review Fluids,260
Journal of Materials Processing Technology,261
"Journal of Mechanical Design, Transactions of the ASME",262
Journal of Heat Transfer,263
Nano Energy,264
NDT and E International,265
Nano Futures,266
FPGA 2019 - Proceedings of the 2019 ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,267
FPGA 2019 - Proceedings of the 2019 ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,268
Journal of Biomechanics,269
IEEE/ASME Transactions on Mechatronics,270
International Journal of Heat and Mass Transfer,271
Automatica,272
"Proceedings of the 2019 Research on Equity and Sustained Participation in Engineering, Computing, and Technology, RESPECT 2019",273
Journal of the Mechanical Behavior of Biomedical Materials,274
Quality and Reliability Engineering International,275
IEEE Transactions on Antennas and Propagation,276
IEEE Transactions on Circuits and Systems II: Express Briefs,277
Computational Materials Science,278
Proceedings of the IEEE Conference on Decision and Control,279
Proceedings of the IEEE Conference on Decision and Control,280
"Proceedings - 17th IEEE International Conference on Machine Learning and Applications, ICMLA 2018",281
Applied Sciences (Switzerland),282
Mechanical Sciences,283
"2018 North American Power Symposium, NAPS 2018",284
Product Development: Principles and Tools for Creating Desirable and Transferable Designs,285
AIAA Scitech 2019 Forum,286
