affiliation,author_id
"Faculty of Technical Sciences, Dept. of Power Electronics and Com. Engineering, Novi Sad, Serbia",6701777223
"Dept. of Power, Electronics and Communication Engineering, Faculty of Technical Sciences, Novi Sad, Serbia",6701777223
"Dept. of Power, Electronics, and Com. Engineering, University of Novi Sad, Faculty of Technical Sciences, Serbia",6701777223
"Dept. of Power, Electronics and Com. Engineering, University of Novi Sad, Serbia",6701777223
"Dept. of Power Electr. and Comm. Eng, Faculty of Technical Sciences, Novi Sad, Serbia",6701777223
"Department of Power, Electronic and Communication Engineering, Faculty of Technical Sciences, Novi Sad, Serbia",6701777223
"Dept. of Power, Electronics and Com. Engineering, University of Novi Sad, Faculty of Technical Sciences, Serbia",6701777223
"Dept. of Physics and Astronomy, Brigham Young University, Provo, UT, United States",8448666000
"Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States",8448666000
"Brigham Young University, Provo, UT  84602, United States",8448666000
"Brigham Young University, Dept. of Physics and Astronomy, Provo, UT, United States",8448666000
"Dept. of Physics and Astronomy, Brigham Young University, Provo, Utah, United States",8448666000
"Dept. of Physics and Astronomy, Brigham Young UniversityUT, United States",8448666000
"Department of Physics and Astronomy, Brigham Young University, Provo, UT, United States",8448666000
"North Carolina State University, Department of Mechanical and Aerospace Engineering, Raleigh, NC  27695, United States",36149254500
"Department of Mechanical and Aerospace Engineering, North Carolina State University, Raleigh, NC  27695, United States",36149254500
"North Carolina State University, Department of Mechanical and Aerospace Engineering, Raleigh, NC  27695, United States",57191155872
"Department of Mechanical and Aerospace Engineering, North Carolina State University, Raleigh, NC  27695, United States",57191155872
"Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT  84602, United States",56681156600
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",56681156600
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States",56681156600
"Brigham Young University, Provo, UT  84602, United States",56681156600
"North Carolina State University, Department of Mechanical and Aerospace Engineering, Raleigh, NC  27695, United States",35088650000
"Department of Mechanical and Aerospace Engineering, North Carolina State University, Raleigh, NC  27695, United States",35088650000
"Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT  84602, United States",7201741468
"Brigham Young University, Provo, UT, United States",7201741468
"Department of Electrical and Computer Engineering, Brigham Young University, United States",7201741468
"North Carolina State University, Department of Mechanical and Aerospace Engineering, Raleigh, NC  27695, United States",7402786794
"Department of Mechanical and Aerospace Engineering, North Carolina State University, Raleigh, NC  27695, United States",7402786794
"Brigham Young University, Provo, UT  84602, United States",57191822951
"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States",57191822951
"Brigham Young University, Provo, UT  84602, United States",57188654880
"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States",57188654880
"Department of Electrical and Computer Science, Tufts University, Medford, MA  02155, United States",57192247939
"Tufts University, Dept. of Electrical and Computer EngMedford, MA, United States",57192247939
"Dept. of Electrical and Computer Eng, Tufts University, Medford, MA, United States",57192247939
"Dept. of Electrical and Computer Engineering, Tufts University, Medford, MA, United States",57192247939
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",57218593962
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",57218593446
